Area,Component,Feature,Source files,Test method,Execution evidence,Result,Environment,Limitations,Bug ID,Final tag,Final source SHA,Fresh release/provider run
Source,Repository baseline,Remotes tags clean tree git history,.git and repository metadata,git fetch/status/rev-parse/log/tag,az-verification/evidence/source-baseline.txt,VERIFIED,Linux x86_64,QA branch adds only audit documents; protected tags unchanged,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
UI,React application,Onboarding Studio Review Loop About ClipEditor,app/src/App.tsx app/src/components/* app/src/api.ts app/src/types.ts,frontend tests build static inspection,v021-evidence/final-gates/frontend_test.log; frontend_build.log,VERIFIED BY DETERMINISTIC TEST,Linux Node 22.13.0,Interactive Tauri UI flow was not completed in the browser-only session,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
UI,Provider setup,Local cloud custom model endpoint auth credential Test Connection,app/src/components/Onboarding.tsx app/src/components/Studio.tsx app/src/api.ts,frontend tests source inspection,v021-evidence/final-gates/frontend_test.log; desktop-launch.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Manual UI interaction blocked by Tauri bridge/display harness,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Tauri,Native bridge,Provider-aware commands job commands export and setup,app/src-tauri/src/main.rs app/src-tauri/src/secrets.rs,compile check test bounded launch,v021-evidence/final-gates/rust_check.log; rust_test.log; desktop-launch.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64 with X display,No full interactive desktop flow,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Ingest,Local file staging URL handoff ffprobe audio extraction,pipeline/clipgauge_pipeline/ingest/*,synthetic media matrix and full pytest,az-verification/evidence/input-matrix/summary.tsv; media-fixtures-ffprobe.jsonl,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Valid fixtures advance beyond ingest into model-dependent stages,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,ASR,Speech model loading transcription VAD,pipeline/clipgauge_pipeline/asr/*,full pytest bounded synthetic job,az-verification/evidence/input-matrix/mp4.log; performance/job.log,BLOCKED,Linux x86_64,Required downloaded speech/model assets absent; bounded run reached ASR and did not complete,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Alignment,Word/segment alignment,pipeline/clipgauge_pipeline/align/*,full pytest static inspection,v021-evidence/final-gates/python_pytest.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No full media workflow completion,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Diarization,Speaker turns CAM++ support,pipeline/clipgauge_pipeline/diarize/* pipeline/clipgauge_pipeline/vendor/campplus/*,full pytest static inspection,v021-evidence/final-gates/python_pytest.log,BLOCKED,Linux x86_64,Model assets unavailable for end-to-end execution,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Audio events,Laughter PANNs audio events,pipeline/clipgauge_pipeline/audio/* pipeline/clipgauge_pipeline/vendor/panns/* pipeline/clipgauge_pipeline/vendor/laughter/*,full pytest static inspection,v021-evidence/final-gates/python_pytest.log,BLOCKED,Linux x86_64,Model assets unavailable,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Scenes,Scene detection and cuts,pipeline/clipgauge_pipeline/scenes/* pipeline/clipgauge_pipeline/camera/*,full pytest static inspection,v021-evidence/final-gates/python_pytest.log,BLOCKED,Linux x86_64,No completed end-to-end video,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Candidates,Highlight candidate generation,pipeline/clipgauge_pipeline/candidates/*,full pytest static inspection,v021-evidence/final-gates/python_pytest.log,BLOCKED,Linux x86_64,Upstream stages blocked,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
